Model,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Train_R2,Test_R2
Linear Regression,2.164399857788797,2.797355259035908,1.181427449470826,1.2829902171514116,0.1707148868837609,0.057250702908030915
Ridge Regression,2.220473691901282,2.69037156627917,1.2067626817286499,1.268097081828511,0.14923031891102956,0.09330575913334505
Lasso Regression,2.296042007618655,2.717069318124622,1.2429080631492664,1.2830504231312427,0.12027648257521129,0.0843082295185652
Random Forest,0.515905672519096,2.3875356085523074,0.5702482983007197,1.1970842919096703,0.8023318600522399,0.1953658694318019
SVR,0.8305120858144992,2.914057987714111,0.5810531013026959,1.3259814205480385,0.6817910948614156,0.01792019060548955
MLP,18.289486864070554,22.32138557606953,3.423768899261921,3.8686023813986963,-6.007577240558449,-6.522630704121176
XGBoost,1.0238703211315705,2.773026461789471,0.7977140823716763,1.264903512764804,0.6077063061982477,0.06544986046196866
